"nazwa","wyświetlacz","pamiec_RAM","pamiec_wbudowana","aparat_foto","cena","liczba_opinii","ocena_klientow"
"Samsung 1",6.2,4,64,48,800,200,0
"Samsung 2",6.5,8,128,64,1000,150,0.5
"Samsung 3",6.1,6,64,48,900,180,1
"Samsung 4",6.4,6,128,64,1100,220,1.5
"Samsung 5",6,4,64,48,700,250,2
"Samsung 6",6.3,6,128,64,1200,190,2.5
"Samsung 7",6.5,8,256,108,1300,170,3
"Samsung 8",6.2,6,128,64,1000,230,3.5
"Samsung 9",6.4,8,256,108,1400,160,4
"Samsung 10",6.6,6,128,48,900,210,4.5"
"Samsung 11",6.7,8,256,108,1500,180,5
"Samsung 12",6.4,8,256,108,1600,0,4.5
"Samsung 13",6.3,6,128,64,1300,180,3.5
"Samsung 14",6.5,8,256,108,1700,220,4
"Samsung 15",6.2,6,128,64,1400,190,3.5
